p,x,y,j,c
460-00-185543-66,114.271701,30.575304,C12,1
460-00-305283-134,114.16342,30.49531,C12,1
460-00-439883-3,114.28547,30.58419,C12,1
460-00-438289-2,114.205842,30.570931,C12,1
460-00-187346-65,114.246376,30.572308,C12,1
460-00-439709-3,114.27986,30.57614,C12,1
460-00-303497-131,114.161991,30.620044,C12,1
460-00-439663-3,114.271645,30.574913,C12,1
460-00-435113-3,114.24951,30.58597,C12,1
460-00-439486-3,114.156801,30.597902,C12,1
460-00-440138-4,114.28718,30.58108,C12,1
460-00-185402-66,114.26641,30.60356,C12,1
460-00-185090-65,114.28649,30.58015,C12,1
460-00-439582-3,114.256857,30.538353,C12,1
460-00-304045-139,114.278925,30.607696,C12,1
460-00-439557-3,114.20203,30.54052,C12,1
460-00-34971-194,114.187164,30.596638,C12,1
460-00-305231-131,114.22409,30.484625,C12,1
460-00-439848-2,114.248255,30.624815,C12,1
460-00-438689-2,114.24675,30.52447,C12,1
460-00-303152-130,114.30165,30.598034,C12,1
460-00-439343-1,114.26644,30.60345,C12,1
460-00-439360-3,114.24395,30.55173,C12,1
460-00-710010-192,114.32361,30.60281,C12,1
460-00-435482-6,114.26026,30.63111,C12,1
460-00-305571-130,114.26264,30.61325,C12,1
460-00-435546-2,114.29522,30.59231,C12,1
460-00-185302-65,114.25976,30.603062,C12,1
460-00-440202-1,114.12988,30.47807,C12,1
460-00-304519-135,114.28287,30.58774,C12,1
460-00-440141-2,114.17427,30.52266,C12,1
460-00-434318-12,114.11554,30.45491,C12,1
460-00-185171-65,114.280525,30.587503,C12,1
460-00-185428-74,114.29044,30.583501,C12,1
460-00-439865-1,114.254042,30.602395,C12,1
460-00-185069-71,114.201164,30.557165,C12,1
460-00-435482-5,114.26026,30.631113,C12,1
460-00-440279-3,114.22035,30.49034,C12,1
460-00-304081-131,114.201486,30.506388,C12,1
460-00-584419-129,114.28881,30.70417,C12,1
460-00-303124-8,114.29079,30.58388,C12,1
460-00-438343-8,114.26595,30.58221,C12,1
460-00-438332-1,114.29611,30.58692,C12,1
460-00-440191-12,114.270084,30.576459,C12,1
460-00-439792-3,114.28289,30.583515,C12,1
460-00-304771-134,114.268166,30.56846,C12,1
460-00-439156-1,114.150764,30.486372,C12,1
460-00-35772-193,114.29102,30.589664,C12,1
460-00-303104-140,114.23252,30.65261,C12,1
460-00-186965-66,114.203995,30.565428,C12,1
460-00-438693-1,114.25769,30.53194,C12,1
460-00-186902-64,114.14561,30.618294,C12,1
460-00-439411-3,114.21405,30.53172,C12,1
460-00-438885-1,114.28897,30.58201,C12,1
460-00-564620-68,114.28682,30.596937,C12,1
460-00-439546-2,114.06549,30.45069,C12,1
460-00-438655-2,114.24048,30.62894,C12,1
460-00-438312-3,114.20712,30.56881,C12,1
460-00-710013-203,114.25011,30.62035,C12,1
460-00-584597-129,114.26471,30.60332,C12,1
460-00-185510-64,114.26666,30.580559,C12,1
460-00-442587-4,114.23223,30.651653,C12,1
460-00-439590-2,114.07661,30.46314,C12,1
460-00-303152-132,114.30165,30.598101,C12,1
460-00-439471-2,114.23184,30.55821,C12,1
460-00-583792-132,114.20135,30.62462,C12,1
460-00-304565-129,114.28459,30.57906,C12,1
460-00-307957-135,114.26858,30.58706,C12,1
460-00-304518-131,114.265926,30.607495,C12,1
